Image,Location name,ratings,comments,ratings(# reviews),location type
https://lh5.googleusercontent.com/p/AF1QipOzTfj0490sqCxcktjO0fTezdFou-h8lPDWtupO=w122-h92-k-no,Jurong Lake Gardens,4.6,running (O),"4.6(5,402)",Park 
https://lh5.googleusercontent.com/p/AF1QipMRoc8-zlYEDPn314i0sAGDn1Cw2CCDgDkCfskd=w163-h92-k-no,Toh Guan Park,4.2,running (O),4.2(42),Park 
https://lh5.googleusercontent.com/p/AF1QipMQ7vAbm1IccWAw38paO05ofLIQ5HefKZl2nuPg=w122-h92-k-no,Hoover Park,4.3,running (O),4.3(47),Park 
https://lh5.googleusercontent.com/p/AF1QipNBFv3jrCbo3VTioFVt5PUr2-KKw_UHs0Ls8FXT=w204-h92-k-no,Bukit Panjang Park Court,4.5,"running (O)
badminton (O)",4.5(2),Park 
https://lh5.googleusercontent.com/p/AF1QipMfgdKLsKYtBKmP615aGRJ9-eRIr69XPNBPzX1I=w80-h94-k-no,Bukit Panjang N2 Park,2.5,running (O),2.5(2),Park 
https://lh5.googleusercontent.com/p/AF1QipMpnIBk8AIG4OLG6MeYi7uMHKlxvcootRXpGSyg=w122-h92-k-no,Senja Parc View Constellation Park,4.1,running (O),4.1(14),Park 
https://lh5.googleusercontent.com/p/AF1QipOfg2-CKgqdoXc3R43z-hAo79Oia_S794XSKB4s=w194-h92-k-no,Zhenghua Nature Park,4.4,running (O),4.4(391),Nature preserve 
https://lh5.googleusercontent.com/p/AF1QipPITbjojEtnLWPXx_i5xTStrca6JBMgTIMo2c0K=w122-h92-k-no,Bukit Panjang Neighborhood 5 Park,4.5,running (O),4.5(153),Park 
https://lh5.googleusercontent.com/p/AF1QipOfegvbPM_f3xZ0VfEE97m8DGnsA21lGEutvWCN=w122-h92-k-no,Petir Park,4.3,"running (O)
badminton (O)",4.3(223),Park 
https://lh5.googleusercontent.com/p/AF1QipP1JqulAdvAWY515UptvoqVZcaMBYr7I2Mgt_OQ=w138-h92-k-no,Bukit Gombak Park,4.4,running (O),4.4(195),Park 
https://lh5.googleusercontent.com/p/AF1QipPhfSzkjstlUVKLwoh4awMZWQ5COzXJdNkEAL61=w80-h106-k-no,Beauty Garden Park,4.2,running (O),4.2(97),Park 
